Iteration,Dimers_Count,GTPs_Count,GDPs-Count,Active Dimers - Count,Inactive Dimers - Count, Current GTPs, Current GDPs, Longest Protofilament Length,Micro Tubule length,Dimers in Main Structure,Dehydrolized Dimers Count, Mean Protofilament Length
3110,700,52,4,587,64,0,0,8,1,49,27,3.76923076923077
3120,700,52,4,587,64,0,0,8,1,49,27,3.76923076923077
3130,700,51,7,587,66,0,0,8,1,47,26,3.61538461538462
3140,700,50,7,588,65,0,0,8,1,47,26,3.61538461538462
3150,700,54,9,587,71,0,0,8,1,42,23,3.23076923076923
3160,700,53,9,585,70,0,0,8,1,45,23,3.46153846153846
3170,700,53,9,584,70,0,0,8,1,46,23,3.53846153846154
3180,700,55,6,585,69,0,0,8,1,46,23,3.53846153846154
3190,700,55,6,585,69,0,0,8,1,46,23,3.53846153846154
3200,700,61,0,585,69,0,0,8,1,46,23,3.53846153846154
3210,700,61,0,585,69,0,0,8,1,46,23,3.53846153846154
3220,700,60,0,586,68,0,0,8,1,46,23,3.53846153846154
3230,700,59,0,585,67,0,0,10,1,48,23,3.69230769230769
3240,700,59,0,584,67,0,0,10,1,49,24,3.76923076923077
3250,700,59,0,584,67,0,0,10,1,49,24,3.76923076923077
3260,700,59,0,582,67,0,0,10,1,51,24,3.92307692307692
3270,700,58,0,580,66,0,0,11,2,54,24,4.15384615384615
3280,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3290,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3300,700,57,0,581,65,0,0,11,2,54,24,4.15384615384615
3310,700,57,0,580,65,0,0,12,2,55,24,4.23076923076923
3320,700,57,0,580,65,0,0,12,2,55,24,4.23076923076923
3330,700,56,2,581,66,0,0,12,2,53,23,4.07692307692308
3340,700,56,2,581,66,0,0,12,2,53,25,4.07692307692308
3350,700,56,2,581,66,0,0,12,2,53,25,4.07692307692308
3360,700,56,6,581,70,0,0,12,2,49,24,3.61538461538462
3370,700,56,10,581,74,0,0,6,2,45,24,3.46153846153846
3380,700,57,8,580,73,0,0,7,2,47,24,3.61538461538462
3390,700,57,8,580,73,0,0,7,2,47,25,3.61538461538462
3400,700,57,8,580,73,0,0,7,2,47,26,3.61538461538462
3410,700,61,4,580,73,0,0,7,2,47,27,3.61538461538462
3420,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3430,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3440,700,65,0,580,73,0,0,7,2,47,27,3.61538461538462
3450,700,64,0,581,72,0,0,7,2,47,27,3.61538461538462
3460,700,64,0,581,72,0,0,7,2,47,27,3.61538461538462
3470,700,63,0,582,71,0,0,7,2,47,27,3.61538461538462
3480,700,62,0,583,70,0,0,7,2,47,28,3.61538461538462
3490,700,61,0,584,69,0,0,7,2,47,28,3.61538461538462
3500,700,61,0,582,69,0,0,7,2,49,28,3.76923076923077
3510,700,60,1,583,69,0,0,7,2,48,27,3.69230769230769
3520,700,59,5,584,72,0,0,5,2,44,24,3.38461538461538
3530,700,59,5,584,72,0,0,5,2,44,24,3.38461538461538
3540,700,58,5,585,71,0,0,5,2,44,25,3.38461538461538
3550,700,58,6,585,72,0,0,5,2,43,24,3.30769230769231
3560,700,57,8,586,73,0,0,5,2,41,24,3.15384615384615
3570,700,60,4,587,72,0,0,5,2,41,25,3.15384615384615
3580,700,60,5,586,73,0,0,5,2,41,24,3.15384615384615
3590,700,59,6,586,73,0,0,5,1,41,23,3.15384615384615
3600,700,60,5,586,73,0,0,5,1,41,26,3.15384615384615
3610,700,63,2,586,73,0,0,5,1,41,26,3.15384615384615
3620,700,63,3,584,74,0,0,5,1,42,25,3.23076923076923
3630,700,63,2,585,73,0,0,5,1,42,26,3.23076923076923
3640,700,64,1,585,73,0,0,5,1,42,26,3.23076923076923
3650,700,64,1,585,73,0,0,5,1,42,27,3.23076923076923
3660,700,64,4,585,76,0,0,5,1,39,28,3
3670,700,64,3,586,75,0,0,5,1,39,29,3
3680,700,64,5,586,77,0,0,5,1,37,27,2.84615384615385
3690,700,64,8,585,80,0,0,5,1,35,25,2.69230769230769
3700,700,64,10,585,82,0,0,5,1,33,23,2.53846153846154
3710,700,67,8,584,83,0,0,6,1,33,22,2.53846153846154
3720,700,66,8,585,82,0,0,6,1,33,22,2.53846153846154
3730,700,68,6,585,82,0,0,6,1,33,22,2.53846153846154
3740,700,70,3,585,81,0,0,6,1,34,23,2.61538461538462
3750,700,72,1,584,81,0,0,6,1,35,23,2.69230769230769
3760,700,73,1,584,82,0,0,6,1,34,24,2.61538461538462
3770,700,73,1,584,82,0,0,6,1,34,26,2.61538461538462
3780,700,73,1,584,82,0,0,6,1,34,26,2.61538461538462
3790,700,72,1,585,81,0,0,6,1,34,26,2.61538461538462
3800,700,68,3,587,80,0,0,6,1,33,24,2.53846153846154
3810,700,67,2,587,78,0,0,6,1,35,24,2.69230769230769
3820,700,67,2,587,78,0,0,6,1,35,24,2.69230769230769
3830,700,67,2,586,78,0,0,6,1,36,24,2.76923076923077
3840,700,67,3,584,79,0,0,7,1,37,23,2.84615384615385
3850,700,67,1,585,77,0,0,7,1,38,23,2.92307692307692
3860,700,67,5,585,81,0,0,7,1,34,21,2.61538461538462
3870,700,67,5,585,81,0,0,7,1,34,21,2.61538461538462
3880,700,66,5,586,80,0,0,7,1,34,22,2.61538461538462
3890,700,67,4,586,80,0,0,7,1,34,22,2.61538461538462
3900,700,67,5,586,81,0,0,7,1,33,21,2.53846153846154
3910,700,71,1,586,81,0,0,7,1,33,21,2.53846153846154
3920,700,71,1,586,81,0,0,7,1,33,21,2.53846153846154
3930,700,70,1,587,80,0,0,7,1,33,21,2.53846153846154
3940,700,70,1,587,80,0,0,7,1,33,21,2.53846153846154
3950,700,71,0,587,80,0,0,7,1,33,21,2.53846153846154
3960,700,70,3,588,82,0,0,7,1,30,20,2.23076923076923
3970,700,70,5,586,84,0,0,5,1,30,19,2.30769230769231
3980,700,68,5,588,82,0,0,5,1,30,19,2.30769230769231
3990,700,68,5,588,82,0,0,5,1,30,19,2.30769230769231
4000,700,66,5,589,80,0,0,6,1,31,19,2.38461538461538
4010,700,65,2,593,76,0,0,6,1,31,19,2.38461538461538
4020,700,67,0,593,76,0,0,6,1,31,19,2.38461538461538
4030,700,65,0,595,74,0,0,6,1,31,19,2.38461538461538
4040,700,64,0,596,73,0,0,6,1,31,19,2.38461538461538
4050,700,62,0,597,72,0,0,6,1,31,19,2.38461538461538
4060,700,60,0,599,70,0,0,6,1,31,19,2.38461538461538
4070,700,59,0,600,69,0,0,6,1,31,19,2.38461538461538
4080,700,58,1,600,69,0,0,7,1,31,19,2.30769230769231
4090,700,58,6,598,74,0,0,5,1,28,18,2.15384615384615
